"nome","resumo","coordenador"
"PREVISÃO DA DEMANDA DE ENERGIA ELÉTRICA UTILIZANDO TÉCNICAS DE INTELIGÊNCIA COMPUTACIONAL","Em breve este conteúdo estará disponível.","Camila Martins Saporetti "
"MONITORIA EM ORGANIZAÇÃO DE COMPUTADORES","Em breve este conteúdo estará disponível.","Carlos Alberto Alves Lemos "
"MAPEAMENTO DA FÍSICA E DESENVOLVIMENTO DE CLASSIFICAÇÃO DE SEUS SUBCAMPOS E INTERDISCIPLINARIDADES","Em breve este conteúdo estará disponível.","Gerson Pech "
"DATAUERJ - ANUÁRIO ESTATÍSTICO DE DADOS INSTITUCIONAIS","Em breve este conteúdo estará disponível.","Lúcia Schmidt De Andrade Lima "
"PROJETO REDE SIRIUS - REDE DE BIBLIOTECAS UERJ: CONTRIBUIÇÃO À FORMAÇÃO ACADÊMICA DE GRADUANDOS","Em breve este conteúdo estará disponível.","Rosangela Aguiar Salles "
